Multi Channel DataManager 1.14.8.22147 ASCII Export
File version: 1
Stream label: Spike Detector (1);Spike Detector; Spike Timestamps1
Stream type: TimeStamp
Data subtype: NeuralSpike

47 (ID=0) [µs],48 (ID=1) [µs],46 (ID=2) [µs],45 (ID=3) [µs],38 (ID=4) [µs],37 (ID=5) [µs],28 (ID=6) [µs],36 (ID=7) [µs],27 (ID=8) [µs],17 (ID=9) [µs],26 (ID=10) [µs],16 (ID=11) [µs],35 (ID=12) [µs],25 (ID=13) [µs],15 (ID=14) [µs],14 (ID=15) [µs],24 (ID=16) [µs],34 (ID=17) [µs],13 (ID=18) [µs],23 (ID=19) [µs],12 (ID=20) [µs],22 (ID=21) [µs],33 (ID=22) [µs],21 (ID=23) [µs],32 (ID=24) [µs],31 (ID=25) [µs],44 (ID=26) [µs],43 (ID=27) [µs],41 (ID=28) [µs],42 (ID=29) [µs],52 (ID=30) [µs],51 (ID=31) [µs],53 (ID=32) [µs],54 (ID=33) [µs],61 (ID=34) [µs],62 (ID=35) [µs],71 (ID=36) [µs],63 (ID=37) [µs],72 (ID=38) [µs],82 (ID=39) [µs],73 (ID=40) [µs],83 (ID=41) [µs],64 (ID=42) [µs],74 (ID=43) [µs],84 (ID=44) [µs],85 (ID=45) [µs],75 (ID=46) [µs],65 (ID=47) [µs],86 (ID=48) [µs],76 (ID=49) [µs],87 (ID=50) [µs],77 (ID=51) [µs],66 (ID=52) [µs],78 (ID=53) [µs],67 (ID=54) [µs],68 (ID=55) [µs],55 (ID=56) [µs],56 (ID=57) [µs],58 (ID=58) [µs],57 (ID=59) [µs]
,,564865160,,,83511480,,,,,155493800,,,,,,,,531691600,,,,,232658520,,,65022400,90990040,,16894320,,35196920,,,,83282880,,,,,,,,,,,,,52283240,83700440,,,,41620960,,,,,,
,,576290280,,,83572120,,,,,163499040,,,,,,,,545344440,,,,,233032680,,,65163760,91001200,,16904880,,35278760,,,,83306280,,,,,,,,,,,,,52362680,84119480,,,,41633480,,,,,,
,,591164040,,,84349760,,,,,163522320,,,,,,,,545354520,,,,,233148080,,,65253120,91032240,,16918120,,35442200,,,,83635080,,,,,,,,,,,,,52568840,84425400,,,,41663400,,,,,,
,,,,,91081680,,,,,164095040,,,,,,,,546657480,,,,,234584000,,,65747400,91628120,,16948080,,35696000,,,,84122280,,,,,,,,,,,,,52664520,91101240,,,,41812720,,,,,,
,,,,,91097600,,,,,177144480,,,,,,,,564873840,,,,,243539960,,,75499440,92094680,,16992200,,35861800,,,,84505760,,,,,,,,,,,,,52880160,91228840,,,,42006440,,,,,,
,,,,,91120520,,,,,177246400,,,,,,,,565846400,,,,,243968960,,,75502680,99593080,,17084080,,41917160,,,,84844920,,,,,,,,,,,,,53000280,91304000,,,,42081600,,,,,,
,,,,,91173000,,,,,178708120,,,,,,,,591171440,,,,,257053120,,,75510560,99606960,,17090840,,41984280,,,,91159000,,,,,,,,,,,,,53196080,91453520,,,,42261840,,,,,,
,,,,,91246160,,,,,186723840,,,,,,,,,,,,,257547960,,,75568440,99618280,,17165640,,41994480,,,,91342560,,,,,,,,,,,,,64377000,91637840,,,,42465800,,,,,,
,,,,,99695360,,,,,195724200,,,,,,,,,,,,,265914400,,,75575000,99636400,,17249320,,42056760,,,,91544880,,,,,,,,,,,,,64384480,91830920,,,,42736280,,,,,,
,,,,,99716480,,,,,195883840,,,,,,,,,,,,,265968680,,,75645840,100084320,,17358200,,42250880,,,,91623720,,,,,,,,,,,,,64396000,92608600,,,,42840080,,,,,,
,,,,,99739120,,,,,196135360,,,,,,,,,,,,,266225640,,,75776960,100430640,,17442520,,42369520,,,,91759040,,,,,,,,,,,,,64598160,92791360,,,,43050320,,,,,,
,,,,,99989840,,,,,196536680,,,,,,,,,,,,,267075640,,,76129440,101027960,,17446680,,42466360,,,,92218680,,,,,,,,,,,,,64663320,99614240,,,,43107640,,,,,,
,,,,,100192520,,,,,204348840,,,,,,,,,,,,,267205400,,,77311040,101337000,,17463400,,42645080,,,,92325160,,,,,,,,,,,,,64763640,99755120,,,,43269400,,,,,,
,,,,,100315680,,,,,204855280,,,,,,,,,,,,,278489720,,,83298720,101610320,,17539000,,42718920,,,,92420440,,,,,,,,,,,,,64855160,99833160,,,,43384480,,,,,,
,,,,,100666080,,,,,204947360,,,,,,,,,,,,,286992000,,,83301800,108052080,,17668400,,42861760,,,,99578480,,,,,,,,,,,,,65037560,101157240,,,,43556640,,,,,,
,,,,,100796760,,,,,204956840,,,,,,,,,,,,,288583720,,,83309920,109166480,,17675000,,43127400,,,,99769040,,,,,,,,,,,,,65170920,101330520,,,,43705680,,,,,,
,,,,,101461080,,,,,205090760,,,,,,,,,,,,,289317760,,,83342520,109362480,,17934600,,43131480,,,,99987400,,,,,,,,,,,,,65321840,101542440,,,,51865920,,,,,,
,,,,,108161520,,,,,205950880,,,,,,,,,,,,,289470280,,,83649520,109452600,,17941480,,43273240,,,,100081120,,,,,,,,,,,,,65845120,101598240,,,,51903800,,,,,,
,,,,,108186560,,,,,214322240,,,,,,,,,,,,,301576360,,,83705400,119109160,,18054280,,43509160,,,,100432640,,,,,,,,,,,,,65848400,101726840,,,,51947800,,,,,,
,,,,,110174520,,,,,214369440,,,,,,,,,,,,,302122880,,,83710160,119131200,,18058680,,43537000,,,,100615240,,,,,,,,,,,,,75539120,108065960,,,,52345560,,,,,,
,,,,,110304080,,,,,214894800,,,,,,,,,,,,,315271480,,,90965720,120980200,,18161920,,51909720,,,,101193080,,,,,,,,,,,,,75545880,108073800,,,,52463160,,,,,,
,,,,,110522840,,,,,223570400,,,,,,,,,,,,,315520840,,,91350440,128643800,,18166040,,51923960,,,,108033560,,,,,,,,,,,,,75550840,108200280,,,,52551600,,,,,,
,,,,,119215760,,,,,223642560,,,,,,,,,,,,,315834880,,,91632280,128654880,,24867560,,52072200,,,,108057080,,,,,,,,,,,,,75659880,108670640,,,,52658400,,,,,,
,,,,,119232840,,,,,224103880,,,,,,,,,,,,,316513040,,,92419640,128665120,,24874160,,52201440,,,,108198800,,,,,,,,,,,,,75715520,108840280,,,,52758760,,,,,,
,,,,,119251720,,,,,232867800,,,,,,,,,,,,,321418880,,,99590680,130259960,,24879600,,52439200,,,,108447400,,,,,,,,,,,,,75856280,108940120,,,,52991240,,,,,,
,,,,,119607960,,,,,233163240,,,,,,,,,,,,,334812360,,,99593760,137421320,,24898400,,52559960,,,,108601440,,,,,,,,,,,,,75931000,109050080,,,,53125720,,,,,,
